T/s,I_se/nA,Spalte1,I_P/nA,Type
7.40E+00,2.0104037,,,$\mathit{I}_\mathrm{PE}$
7.45E+00,1.9302977,,,$\mathit{I}_\mathrm{PE}$
7.50E+00,1.9164485,,,$\mathit{I}_\mathrm{PE}$
7.55E+00,2.0245747,,,$\mathit{I}_\mathrm{PE}$
7.60E+00,2.0673748,,,$\mathit{I}_\mathrm{PE}$
7.65E+00,2.0376167,,,$\mathit{I}_\mathrm{PE}$
7.70E+00,2.0537023,,,$\mathit{I}_\mathrm{PE}$
7.75E+00,2.0036464,,,$\mathit{I}_\mathrm{PE}$
7.80E+00,2.0392479,,,$\mathit{I}_\mathrm{PE}$
7.85E+00,2.0137127,,,$\mathit{I}_\mathrm{PE}$
7.90E+00,2.1788931,,,$\mathit{I}_\mathrm{PE}$
7.95E+00,2.0607378,,,$\mathit{I}_\mathrm{PE}$
8.00E+00,2.0789635,,,$\mathit{I}_\mathrm{PE}$
8.05E+00,2.2054580,,,$\mathit{I}_\mathrm{PE}$
8.10E+00,2.1133716,,,$\mathit{I}_\mathrm{PE}$
8.15E+00,2.1994873,,,$\mathit{I}_\mathrm{PE}$
8.20E+00,2.2453636,,,$\mathit{I}_\mathrm{PE}$
8.25E+00,2.1562782,,,$\mathit{I}_\mathrm{PE}$
8.30E+00,2.1627452,,,$\mathit{I}_\mathrm{PE}$
8.35E+00,2.2604842,,,$\mathit{I}_\mathrm{PE}$
8.40E+00,2.3417782,,,$\mathit{I}_\mathrm{PE}$
8.45E+00,2.2876490,,,$\mathit{I}_\mathrm{PE}$
8.50E+00,2.4627510,,,$\mathit{I}_\mathrm{PE}$
8.55E+00,2.4524882,,,$\mathit{I}_\mathrm{PE}$
8.60E+00,2.4681401,,,$\mathit{I}_\mathrm{PE}$
8.65E+00,2.5310438,,,$\mathit{I}_\mathrm{PE}$
8.70E+00,2.6290466,,,$\mathit{I}_\mathrm{PE}$
8.75E+00,2.7611840,,,$\mathit{I}_\mathrm{PE}$
8.80E+00,2.7336029,,,$\mathit{I}_\mathrm{PE}$
8.85E+00,2.7085753,,,$\mathit{I}_\mathrm{PE}$
8.90E+00,2.8572426,,,$\mathit{I}_\mathrm{PE}$
8.95E+00,2.8746665,,,$\mathit{I}_\mathrm{PE}$
9.00E+00,3.0539755,,,$\mathit{I}_\mathrm{PE}$
9.05E+00,3.1310397,,,$\mathit{I}_\mathrm{PE}$
9.10E+00,2.9793738,,,$\mathit{I}_\mathrm{PE}$
9.15E+00,3.1591756,,,$\mathit{I}_\mathrm{PE}$
9.20E+00,3.2530579,,,$\mathit{I}_\mathrm{PE}$
9.25E+00,3.2031954,,,$\mathit{I}_\mathrm{PE}$
9.30E+00,3.2600166,,,$\mathit{I}_\mathrm{PE}$
9.35E+00,3.2476119,,,$\mathit{I}_\mathrm{PE}$
9.40E+00,3.4008125,,,$\mathit{I}_\mathrm{PE}$
9.45E+00,3.4389114,,,$\mathit{I}_\mathrm{PE}$
9.50E+00,3.3596720,,,$\mathit{I}_\mathrm{PE}$
9.55E+00,3.4548401,,,$\mathit{I}_\mathrm{PE}$
9.60E+00,3.3809309,,,$\mathit{I}_\mathrm{PE}$
9.65E+00,3.4559591,,,$\mathit{I}_\mathrm{PE}$
9.70E+00,3.2670992,,,$\mathit{I}_\mathrm{PE}$
9.75E+00,3.2622708,,,$\mathit{I}_\mathrm{PE}$
9.80E+00,3.2635835,,,$\mathit{I}_\mathrm{PE}$
9.85E+00,3.3634409,,,$\mathit{I}_\mathrm{PE}$
9.90E+00,3.4021372,,,$\mathit{I}_\mathrm{PE}$
9.95E+00,3.3020665,,,$\mathit{I}_\mathrm{PE}$
1.00E+01,3.3880978,,,$\mathit{I}_\mathrm{PE}$
1.00E+01,3.2412586,,,$\mathit{I}_\mathrm{PE}$
1.01E+01,3.4130798,,,$\mathit{I}_\mathrm{PE}$
1.01E+01,3.3185886,,,$\mathit{I}_\mathrm{PE}$
1.02E+01,3.3764129,,,$\mathit{I}_\mathrm{PE}$
1.02E+01,3.4879227,,,$\mathit{I}_\mathrm{PE}$
1.03E+01,3.4080753,,,$\mathit{I}_\mathrm{PE}$
1.03E+01,3.4067109,,,$\mathit{I}_\mathrm{PE}$
1.04E+01,3.3177825,,,$\mathit{I}_\mathrm{PE}$
1.04E+01,3.3896065,,,$\mathit{I}_\mathrm{PE}$
1.05E+01,3.4048106,,,$\mathit{I}_\mathrm{PE}$
1.05E+01,3.4864072,,,$\mathit{I}_\mathrm{PE}$
1.06E+01,3.5069930,,,$\mathit{I}_\mathrm{PE}$
1.06E+01,3.6712964,,,$\mathit{I}_\mathrm{PE}$
1.07E+01,3.7477780,,,$\mathit{I}_\mathrm{PE}$
1.07E+01,3.9992074,,,$\mathit{I}_\mathrm{PE}$
1.08E+01,3.8501435,,,$\mathit{I}_\mathrm{PE}$
1.08E+01,4.0827748,,,$\mathit{I}_\mathrm{PE}$
1.09E+01,4.1406792,,,$\mathit{I}_\mathrm{PE}$
1.09E+01,4.0408187,,,$\mathit{I}_\mathrm{PE}$
1.10E+01,4.1744951,,,$\mathit{I}_\mathrm{PE}$
1.10E+01,4.1328837,,,$\mathit{I}_\mathrm{PE}$
1.11E+01,4.1782543,,,$\mathit{I}_\mathrm{PE}$
1.11E+01,4.5419900,,,$\mathit{I}_\mathrm{PE}$
1.12E+01,4.7076819,,,$\mathit{I}_\mathrm{PE}$
1.12E+01,4.7395056,,,$\mathit{I}_\mathrm{PE}$
1.13E+01,4.8279573,,,$\mathit{I}_\mathrm{PE}$
1.13E+01,4.8813205,,,$\mathit{I}_\mathrm{PE}$
1.14E+01,5.2928347,,,$\mathit{I}_\mathrm{PE}$
1.14E+01,5.3465549,,,$\mathit{I}_\mathrm{PE}$
1.15E+01,5.3450324,,,$\mathit{I}_\mathrm{PE}$
1.15E+01,5.9961635,,,$\mathit{I}_\mathrm{PE}$
1.16E+01,6.1040841,,,$\mathit{I}_\mathrm{PE}$
1.16E+01,6.4554439,,,$\mathit{I}_\mathrm{PE}$
1.17E+01,6.8001286,,,$\mathit{I}_\mathrm{PE}$
1.17E+01,6.8697790,,,$\mathit{I}_\mathrm{PE}$
1.18E+01,7.2567442,,,$\mathit{I}_\mathrm{PE}$
1.18E+01,7.8384912,,,$\mathit{I}_\mathrm{PE}$
1.19E+01,8.0383768,,,$\mathit{I}_\mathrm{PE}$
1.19E+01,7.7969436,,,$\mathit{I}_\mathrm{PE}$
1.20E+01,8.1004438,,,$\mathit{I}_\mathrm{PE}$
1.20E+01,8.3425810,,,$\mathit{I}_\mathrm{PE}$
1.21E+01,8.8643390,,,$\mathit{I}_\mathrm{PE}$
1.21E+01,8.5961402,,,$\mathit{I}_\mathrm{PE}$
1.22E+01,9.4654044,,,$\mathit{I}_\mathrm{PE}$
1.22E+01,9.7017034,,,$\mathit{I}_\mathrm{PE}$
1.23E+01,9.7187911,,,$\mathit{I}_\mathrm{PE}$
1.23E+01,9.8223973,,,$\mathit{I}_\mathrm{PE}$
1.24E+01,10.2342274,,,$\mathit{I}_\mathrm{PE}$
1.25E+01,10.6752893,,,$\mathit{I}_\mathrm{PE}$
1.26E+01,11.4827196,,,$\mathit{I}_\mathrm{PE}$
1.27E+01,11.6228055,,,$\mathit{I}_\mathrm{PE}$
1.28E+01,12.0660895,,,$\mathit{I}_\mathrm{PE}$
1.29E+01,13.2736088,,,$\mathit{I}_\mathrm{PE}$
1.30E+01,12.7262431,,,$\mathit{I}_\mathrm{PE}$
1.31E+01,13.7990312,,,$\mathit{I}_\mathrm{PE}$
1.32E+01,13.8550865,,,$\mathit{I}_\mathrm{PE}$
1.33E+01,14.8522746,,,$\mathit{I}_\mathrm{PE}$
1.34E+01,15.2655289,,,$\mathit{I}_\mathrm{PE}$
1.35E+01,15.7787754,,,$\mathit{I}_\mathrm{PE}$
1.36E+01,16.7585298,,,$\mathit{I}_\mathrm{PE}$
1.37E+01,18.1715561,,,$\mathit{I}_\mathrm{PE}$
1.38E+01,19.1979315,,,$\mathit{I}_\mathrm{PE}$
1.39E+01,20.0679470,,,$\mathit{I}_\mathrm{PE}$
1.40E+01,21.0401622,,,$\mathit{I}_\mathrm{PE}$
1.41E+01,21.5618370,,,$\mathit{I}_\mathrm{PE}$
1.42E+01,21.9990371,,,$\mathit{I}_\mathrm{PE}$
1.43E+01,24.2655108,,,$\mathit{I}_\mathrm{PE}$
1.44E+01,27.4116945,,,$\mathit{I}_\mathrm{PE}$
1.45E+01,30.8127683,,,$\mathit{I}_\mathrm{PE}$
1.46E+01,30.4864096,,,$\mathit{I}_\mathrm{PE}$
1.47E+01,29.8291137,,,$\mathit{I}_\mathrm{PE}$
1.48E+01,30.4767433,,,$\mathit{I}_\mathrm{PE}$
1.49E+01,31.5764376,,,$\mathit{I}_\mathrm{PE}$
1.50E+01,31.3279276,,,$\mathit{I}_\mathrm{PE}$
1.51E+01,32.1327844,,,$\mathit{I}_\mathrm{PE}$
1.52E+01,31.4687187,,,$\mathit{I}_\mathrm{PE}$
1.53E+01,31.8395437,,,$\mathit{I}_\mathrm{PE}$
1.54E+01,31.8561875,,,$\mathit{I}_\mathrm{PE}$
1.55E+01,32.6901881,,,$\mathit{I}_\mathrm{PE}$
1.56E+01,31.9971557,,,$\mathit{I}_\mathrm{PE}$
1.57E+01,32.2853180,,,$\mathit{I}_\mathrm{PE}$
1.58E+01,32.5205459,,,$\mathit{I}_\mathrm{PE}$
1.59E+01,31.5097818,,,$\mathit{I}_\mathrm{PE}$
1.60E+01,32.8391942,,,$\mathit{I}_\mathrm{PE}$
1.61E+01,31.7831066,,,$\mathit{I}_\mathrm{PE}$
1.62E+01,31.4349053,,,$\mathit{I}_\mathrm{PE}$
1.63E+01,32.6011298,,,$\mathit{I}_\mathrm{PE}$
1.64E+01,31.9729343,,,$\mathit{I}_\mathrm{PE}$
1.65E+01,31.8641695,,,$\mathit{I}_\mathrm{PE}$
1.66E+01,31.6622922,,,$\mathit{I}_\mathrm{PE}$
1.67E+01,32.3842702,,,$\mathit{I}_\mathrm{PE}$
1.68E+01,32.4906623,,,$\mathit{I}_\mathrm{PE}$
1.69E+01,30.9407136,,,$\mathit{I}_\mathrm{PE}$
1.70E+01,31.8300875,,,$\mathit{I}_\mathrm{PE}$
1.71E+01,30.6522357,,,$\mathit{I}_\mathrm{PE}$
1.72E+01,30.6365388,,,$\mathit{I}_\mathrm{PE}$
1.73E+01,31.6286568,,,$\mathit{I}_\mathrm{PE}$
1.74E+01,30.2955271,,,$\mathit{I}_\mathrm{PE}$
1.75E+01,31.8836585,,,$\mathit{I}_\mathrm{PE}$
1.76E+01,31.8272527,,,$\mathit{I}_\mathrm{PE}$
1.77E+01,30.6722096,,,$\mathit{I}_\mathrm{PE}$
1.78E+01,32.3292749,,,$\mathit{I}_\mathrm{PE}$
1.79E+01,31.0552377,,,$\mathit{I}_\mathrm{PE}$
1.80E+01,32.2474943,,,$\mathit{I}_\mathrm{PE}$
1.81E+01,30.4779033,,,$\mathit{I}_\mathrm{PE}$
1.82E+01,31.2316698,,,$\mathit{I}_\mathrm{PE}$
1.83E+01,31.8962529,,,$\mathit{I}_\mathrm{PE}$
1.84E+01,31.6404824,,,$\mathit{I}_\mathrm{PE}$
1.85E+01,30.2113162,,,$\mathit{I}_\mathrm{PE}$
1.86E+01,30.4349185,,,$\mathit{I}_\mathrm{PE}$
1.87E+01,30.7602319,,,$\mathit{I}_\mathrm{PE}$
1.88E+01,32.9541874,,,$\mathit{I}_\mathrm{PE}$
1.89E+01,31.4266731,,,$\mathit{I}_\mathrm{PE}$
1.90E+01,31.3123780,,,$\mathit{I}_\mathrm{PE}$
1.91E+01,33.3453420,,,$\mathit{I}_\mathrm{PE}$
1.92E+01,32.6194969,,,$\mathit{I}_\mathrm{PE}$
1.93E+01,31.3494295,,,$\mathit{I}_\mathrm{PE}$
1.94E+01,30.7453949,,,$\mathit{I}_\mathrm{PE}$
1.95E+01,30.9062503,,,$\mathit{I}_\mathrm{PE}$
1.96E+01,28.0896822,,,$\mathit{I}_\mathrm{PE}$
1.97E+01,27.3898434,,,$\mathit{I}_\mathrm{PE}$
1.98E+01,26.3145420,,,$\mathit{I}_\mathrm{PE}$
1.99E+01,23.7685246,,,$\mathit{I}_\mathrm{PE}$
2.00E+01,22.1001291,,,$\mathit{I}_\mathrm{PE}$
2.01E+01,19.7870238,,,$\mathit{I}_\mathrm{PE}$
2.01E+01,19.2720780,,,$\mathit{I}_\mathrm{PE}$
2.02E+01,18.7592452,,,$\mathit{I}_\mathrm{PE}$
2.02E+01,18.7706515,,,$\mathit{I}_\mathrm{PE}$
2.03E+01,18.5517577,,,$\mathit{I}_\mathrm{PE}$
2.03E+01,17.7625667,,,$\mathit{I}_\mathrm{PE}$
2.04E+01,17.3561790,,,$\mathit{I}_\mathrm{PE}$
2.04E+01,16.4364473,,,$\mathit{I}_\mathrm{PE}$
2.05E+01,15.4852324,,,$\mathit{I}_\mathrm{PE}$
2.05E+01,15.1885110,,,$\mathit{I}_\mathrm{PE}$
2.06E+01,14.2825592,,,$\mathit{I}_\mathrm{PE}$
2.06E+01,14.8037015,,,$\mathit{I}_\mathrm{PE}$
2.07E+01,14.0563960,,,$\mathit{I}_\mathrm{PE}$
2.07E+01,14.1675300,,,$\mathit{I}_\mathrm{PE}$
2.08E+01,13.5010267,,,$\mathit{I}_\mathrm{PE}$
2.08E+01,13.0319176,,,$\mathit{I}_\mathrm{PE}$
2.09E+01,11.7817086,,,$\mathit{I}_\mathrm{PE}$
2.09E+01,11.9900992,,,$\mathit{I}_\mathrm{PE}$
2.10E+01,10.7435715,,,$\mathit{I}_\mathrm{PE}$
2.10E+01,10.7306164,,,$\mathit{I}_\mathrm{PE}$
2.11E+01,10.5993357,,,$\mathit{I}_\mathrm{PE}$
2.11E+01,9.7186813,,,$\mathit{I}_\mathrm{PE}$
2.12E+01,9.8744833,,,$\mathit{I}_\mathrm{PE}$
2.12E+01,9.6398903,,,$\mathit{I}_\mathrm{PE}$
2.13E+01,9.2001897,,,$\mathit{I}_\mathrm{PE}$
2.13E+01,8.6981757,,,$\mathit{I}_\mathrm{PE}$
2.14E+01,8.6284413,,,$\mathit{I}_\mathrm{PE}$
2.14E+01,8.5695051,,,$\mathit{I}_\mathrm{PE}$
2.15E+01,8.2774835,,,$\mathit{I}_\mathrm{PE}$
2.15E+01,7.9383862,,,$\mathit{I}_\mathrm{PE}$
2.16E+01,7.1573186,,,$\mathit{I}_\mathrm{PE}$
2.16E+01,7.0445596,,,$\mathit{I}_\mathrm{PE}$
2.17E+01,7.0237324,,,$\mathit{I}_\mathrm{PE}$
2.17E+01,6.8419651,,,$\mathit{I}_\mathrm{PE}$
2.18E+01,6.3315891,,,$\mathit{I}_\mathrm{PE}$
2.18E+01,6.0470560,,,$\mathit{I}_\mathrm{PE}$
2.19E+01,6.0347172,,,$\mathit{I}_\mathrm{PE}$
2.19E+01,5.5856271,,,$\mathit{I}_\mathrm{PE}$
2.20E+01,5.6466627,,,$\mathit{I}_\mathrm{PE}$
2.20E+01,5.3938068,,,$\mathit{I}_\mathrm{PE}$
2.21E+01,5.2274039,,,$\mathit{I}_\mathrm{PE}$
2.21E+01,5.0760432,,,$\mathit{I}_\mathrm{PE}$
2.22E+01,4.7955472,,,$\mathit{I}_\mathrm{PE}$
2.22E+01,4.6482074,,,$\mathit{I}_\mathrm{PE}$
2.23E+01,4.6954340,,,$\mathit{I}_\mathrm{PE}$
2.23E+01,4.7806139,,,$\mathit{I}_\mathrm{PE}$
2.24E+01,4.4884120,,,$\mathit{I}_\mathrm{PE}$
2.24E+01,4.3636573,,,$\mathit{I}_\mathrm{PE}$
2.25E+01,4.4327113,,,$\mathit{I}_\mathrm{PE}$
2.25E+01,4.0552742,,,$\mathit{I}_\mathrm{PE}$
2.26E+01,3.8876401,,,$\mathit{I}_\mathrm{PE}$
2.26E+01,3.8822036,,,$\mathit{I}_\mathrm{PE}$
2.27E+01,3.5089708,,,$\mathit{I}_\mathrm{PE}$
2.27E+01,3.3997628,,,$\mathit{I}_\mathrm{PE}$
2.28E+01,3.3053107,,,$\mathit{I}_\mathrm{PE}$
2.28E+01,2.9237272,,,$\mathit{I}_\mathrm{PE}$
2.29E+01,2.5849664,,,$\mathit{I}_\mathrm{PE}$
2.29E+01,2.2557129,,,$\mathit{I}_\mathrm{PE}$
